experiment_name,experiment_type,look_back,ema_span,rule_weight,lstm_weight,source_pure,august_gate_pass,submission_issue_count,submission_issues,overall_weighted_relative_error_mean,overall_weighted_proxy_score_mean,overall_bad_day_rate_max,overall_worst_month_by_weighted_error,august_weighted_relative_error_mean,august_weighted_proxy_score_mean,august_bad_day_rate_max,2014-05_weighted_relative_error_mean,2014-05_weighted_proxy_score_mean,2014-05_bad_day_rate_max,2014-06_weighted_relative_error_mean,2014-06_weighted_proxy_score_mean,2014-06_bad_day_rate_max,2014-07_weighted_relative_error_mean,2014-07_weighted_proxy_score_mean,2014-07_bad_day_rate_max,2014-08_weighted_relative_error_mean,2014-08_weighted_proxy_score_mean,2014-08_bad_day_rate_max
blend_rule95_lstm05,blend,40,3,0.95,0.050000000000000044,pure_base,True,0,,0.14178786669442534,5.973985234377327,0.21138211382113822,2014-06,0.12132645478396689,6.408348685213972,0.1935483870967742,0.12866311238824782,6.268680583013536,0.16129032258064516,0.18769008435193155,5.011863613487532,0.4666666666666667,0.13095253195218443,6.176011874475249,0.12903225806451613,0.12132645478396689,6.408348685213972,0.1935483870967742
blend_rule90_lstm09,blend,40,3,0.9,0.09999999999999998,pure_base,True,0,,0.14587817633517583,5.810902135477388,0.21138211382113822,2014-06,0.12500702027596244,6.304151884079636,0.1935483870967742,0.13464067830772095,6.022824715208417,0.16129032258064516,0.1914780854030397,4.841735348022184,0.4666666666666667,0.13385788616262093,6.043633149842693,0.12903225806451613,0.12500702027596244,6.304151884079636,0.1935483870967742
blend_rule85_lstm15,blend,40,3,0.85,0.15000000000000002,pure_base,True,0,,0.15204329198555175,5.582607900895552,0.21951219512195122,2014-06,0.13141893942820262,6.108909959061306,0.1935483870967742,0.14377200111134958,5.675597882593712,0.12903225806451613,0.19706608138480153,4.6152568670965275,0.5,0.1373684940629903,5.899462022772632,0.12903225806451613,0.13141893942820262,6.108909959061306,0.1935483870967742
blend_rule80_lstm19,blend,40,3,0.8,0.19999999999999996,pure_base,True,0,,0.15894561768149837,5.342984111387757,0.21138211382113822,2014-06,0.13824219573295607,5.90186752584833,0.16129032258064516,0.15360042390817868,5.352067075682361,0.16129032258064516,0.20417320015236745,4.341970288624941,0.5,0.1412256052057449,5.743740786919177,0.12903225806451613,0.13824219573295607,5.90186752584833,0.16129032258064516
pure_base,pure,40,3,,,,False,5,weighted_relative_error_mean 0.273903 > 0.180000 | purchase_relative_error_mean 0.242934 > 0.160000 | redeem_relative_error_mean 0.299241 > 0.220000 | weighted_proxy_score_mean 3.690146 < 4.000000 | bad_day_rate_max 0.419355 > 0.200000,0.3109733301559097,3.459591012703035,0.3902439024390244,2014-05,0.27390267467663787,3.6901458416725843,0.41935483870967744,0.3838076045679162,3.360099740307105,0.41935483870967744,0.33652260713971305,2.957250288397274,0.5,0.2504846044646556,3.8146636409414443,0.3548387096774194,0.27390267467663787,3.6901458416725843,0.41935483870967744
pure_lb30,pure,30,3,,,,False,5,weighted_relative_error_mean 0.273259 > 0.180000 | purchase_relative_error_mean 0.232459 > 0.160000 | redeem_relative_error_mean 0.306640 > 0.220000 | weighted_proxy_score_mean 3.696685 < 4.000000 | bad_day_rate_max 0.419355 > 0.200000,0.31495950556160446,3.3468158335230296,0.4146341463414634,2014-05,0.27325852346859747,3.696684820926489,0.41935483870967744,0.3685800730175207,3.694800573520141,0.4838709677419355,0.29747853099766025,2.5377230016765373,0.5666666666666667,0.3199569923573509,3.4319551691997088,0.5483870967741935,0.27325852346859747,3.696684820926489,0.41935483870967744
pure_lb60,pure,60,3,,,,False,5,weighted_relative_error_mean 0.315747 > 0.180000 | purchase_relative_error_mean 0.303983 > 0.160000 | redeem_relative_error_mean 0.325372 > 0.220000 | weighted_proxy_score_mean 3.842715 < 4.000000 | bad_day_rate_max 0.451613 > 0.200000,0.32943808962703014,3.33115565500963,0.4146341463414634,2014-05,0.31574696127988405,3.842714751659212,0.45161290322580644,0.35608353552824096,3.5285142600192216,0.41935483870967744,0.3292284158331359,2.720544613831962,0.5333333333333333,0.31668668219608886,3.213151864167554,0.5806451612903226,0.31574696127988405,3.842714751659212,0.45161290322580644
pure_ema5,pure,40,5,,,,False,5,weighted_relative_error_mean 0.292288 > 0.180000 | purchase_relative_error_mean 0.242013 > 0.160000 | redeem_relative_error_mean 0.333422 > 0.220000 | weighted_proxy_score_mean 3.395719 < 4.000000 | bad_day_rate_max 0.483871 > 0.200000,0.3200874436706745,3.257793348474565,0.3983739837398374,2014-05,0.29228799263516764,3.395718693450124,0.4838709677419355,0.3624558192499978,3.6559333304940314,0.3870967741935484,0.296948884894214,2.6733481144840456,0.4666666666666667,0.32791067278149727,3.2873201834058494,0.4838709677419355,0.29228799263516764,3.395718693450124,0.4838709677419355
