decision,label,kind,target,factor,overrides,overall_proxy,overall_delta,overall_weighted_error,august_proxy,august_weighted_error,august_bad_day_rate_max,max_month_delta,bad_day_rate_max,affected_validation_rows,affected_submission_dates,month_proxy_deltas,gate_failures,risk_failures
KEEP_CANDIDATE,redeem_day10_x1.04,single_day,redeem,1.04,{},5.9457454077330025,0.009879946303853693,0.1417987192886663,6.28474533060982,0.12381149423529009,0.16129032258064516,-0.023797991163622356,0.2032520325203252,4,20140910,"{""2014-05"": -0.023797991163622356, ""2014-06"": 0.02146811696109996, ""2014-07"": 0.019766778613752756, ""2014-08"": 0.022456692760868258}",,
KEEP_CANDIDATE,purchase_day26_x1.06,single_day,purchase,1.06,{},5.94535806812185,0.009492606692701244,0.14181033947700086,6.283135111603533,0.12385980080547877,0.16129032258064516,-0.03455546784237207,0.2032520325203252,4,20140926,"{""2014-05"": 0.024344453906240737, ""2014-06"": 0.02792971229434471, ""2014-07"": -0.03455546784237207, ""2014-08"": 0.02084647375458104}",,
KEEP_CANDIDATE,redeem_day25_x0.94,single_day,redeem,0.94,{},5.945021921234557,0.009156459805407913,0.14195031676069542,6.301744571262565,0.12330151701570778,0.16129032258064516,-0.028765221643253014,0.2032520325203252,4,20140925,"{""2014-05"": -0.028765221643253014, ""2014-06"": 0.0, ""2014-07"": 0.025639757780127503, ""2014-08"": 0.03945593341361242}",,
KEEP_CANDIDATE,purchase_day3_9_x0.98,day_range,purchase,0.98,{},5.944864714456885,0.008999253027735854,0.14199777847071932,6.260948153769837,0.12471609530481116,0.16129032258064516,-0.02457913313596105,0.2032520325203252,28,"20140903,20140904,20140905,20140906,20140907,20140908,20140909","{""2014-05"": -0.02457913313596105, ""2014-06"": 0.006219763361460906, ""2014-07"": 0.05560720500758176, ""2014-08"": -0.001340484079115356}",,
KEEP_CANDIDATE,redeem_day13_x1.08,single_day,redeem,1.08,{},5.944854354933072,0.008988893503922846,0.14163083639405555,6.303783948985848,0.12324033568400923,0.16129032258064516,-0.048923106043734954,0.2032520325203252,4,20140913,"{""2014-05"": -0.048923106043734954, ""2014-06"": 0.0, ""2014-07"": 0.04309340461595035, ""2014-08"": 0.041495311136896085}",,
KEEP_CANDIDATE,purchase_day7_x0.92,single_day,purchase,0.92,{},5.9446898143547795,0.008824352925630663,0.14183038709001297,6.305778270548299,0.12318050603713575,0.16129032258064516,-0.031847015193595674,0.2032520325203252,4,20140907,"{""2014-05"": -0.031847015193595674, ""2014-06"": -0.016746124022803954, ""2014-07"": 0.03957606412446424, ""2014-08"": 0.04348963269934725}",,
KEEP_CANDIDATE,purchase_day3_5_x0.96,day_range,purchase,0.96,{},5.944551676181063,0.008686214751914001,0.1420895468544256,6.2281427647704115,0.12589094273911547,0.16129032258064516,-0.03414587307854067,0.2032520325203252,12,"20140903,20140904,20140905","{""2014-05"": -0.01775360016329941, ""2014-06"": 0.025361605343517724, ""2014-07"": 0.06182064273151067, ""2014-08"": -0.03414587307854067}",,
KEEP_CANDIDATE,purchase_day7_x0.94,single_day,purchase,0.94,{},5.944413537367754,0.00854807593860496,0.14183867539962375,6.294905862373463,0.12350667828238084,0.16129032258064516,-0.023885260815472265,0.2032520325203252,4,20140907,"{""2014-05"": -0.023885260815472265, ""2014-06"": -0.006503895232849111, ""2014-07"": 0.031478687821086204, ""2014-08"": 0.0326172245245111}",,
KEEP_CANDIDATE,redeem_day25_26_x0.96,day_range,redeem,0.96,{},5.944302095994264,0.008436634565114787,0.1421203241887144,6.265330773759801,0.12439393094079074,0.16129032258064516,0.0,0.2032520325203252,8,"20140925,20140926","{""2014-05"": 0.005516058397344814, ""2014-06"": 0.0, ""2014-07"": 0.024916194450163687, ""2014-08"": 0.0030421359108485646}",,
KEEP_CANDIDATE,purchase_day5_x1.08,single_day,purchase,1.08,{},5.943978007510434,0.008112546081284755,0.1416937163093216,6.266813326403064,0.12372245199759996,0.16129032258064516,-0.041047172940569254,0.2032520325203252,4,20140905,"{""2014-05"": 0.03550720032659793, ""2014-06"": 0.03431056579511971, ""2014-07"": -0.041047172940569254, ""2014-08"": 0.004524688554111478}",,
